Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
American Samoa,ASM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,36.47758,..,..,..,..,..,..,..,..,..
Angola,AGO,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,59.8742,..,..,..,..,..,..,..,..,..
Angola,AGO,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,18.81837,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,74.09815,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,92.26296,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,54.98767,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,99.28294,..,..,..,..,96.96779,..,..,..,..,..,..,..,..
Armenia,ARM,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,99.87504,..,..,..,..,99.26774,..,..,..,..,..,..,..,..
Armenia,ARM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,93.04728,..,..,..,..,64.70735,..,..,..,..,..,..,..,..
Aruba,ABW,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,99.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,85.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,99.19,..,99.23,98.7,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,85.21,..,91.64,88.32,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,50.63494,..,54.4,54.93395,..,..,..,..,64.75245,..,..,..,..,..
Bangladesh,BGD,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,74.78203,..,72.23,80.01213,..,..,..,..,82.60853,..,..,..,..,..
Bangladesh,BGD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,13.44728,..,17.35,18.89613,..,..,..,..,29.36274,..,..,..,..,..
Barbados,BRB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,98.24562,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,98.4548,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,94.18844,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,99.93871,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,99.76952,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,90.03093,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,88.8,..,88.1,92.31,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,85.18,..,81.8,86.18,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,42.05,..,..,..,..,61.03541,..,..,..,..,..,..,..,..
Belize,BLZ,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,84.28,..,..,..,..,96.18351,..,..,..,..,..,..,..,..
Belize,BLZ,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,20.84,..,..,..,..,49.44114,..,..,..,..,..,..,..,..
Benin,BEN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,30.07267,..,..,27.6143,..,..,..,18.57976,..,..,..,..,..,..
Benin,BEN,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,59.41194,..,..,54.11723,..,..,..,47.57439,..,..,..,..,..,..
Benin,BEN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,14.69865,..,..,10.24648,..,..,..,8.39175,..,..,..,..,..,..
Bermuda,BMU,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,38.78343,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,67.86397,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,20.97946,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,88.26,..,85.48,87.32,88.19,86.75,89.3,88.87,91,91.95,..,..,..,..,..,..
Bolivia,BOL,"Completion rate, primary education, both sexes (%)",UIS.CR.1,92.57,..,92.96,92.57,95.59,93.18,96.94,96.37,97.31,97.32,..,..,..,..,..,..
Bolivia,BOL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,64.42,..,66.5,68.24,76.76,67.29,70.41,73.72,74.46,76.19,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,96.84455,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,99.73966,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,93.06007,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,81.12,..,82.95,84.53,85.01,86.84,87.38,83.75,84.37,85.69,..,..,..,..,..,..
Brazil,BRA,"Completion rate, primary education, both sexes (%)",UIS.CR.1,94.44,..,94.9,95.91,96.02,96.72,97,93.84,94.74,95.16,..,..,..,..,..,..
Brazil,BRA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,64,..,65.52,65.22,66.99,67.74,69.71,65.13,65.36,67.32,..,..,..,..,..,..
British Virgin Islands,VGB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,92.44,..,95.12,92.53,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,84.18,..,83.32,80.06,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,9.02003,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,30.90798,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,3.85679,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,11.93795,..,..,..,..,..,..,27.23233,..,..,..,..,..,..,..
Burundi,BDI,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,39.82951,..,..,..,..,..,..,53.34742,..,..,..,..,..,..,..
Burundi,BDI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,5.06229,..,..,..,..,..,..,8.22734,..,..,..,..,..,..,..
Cabo Verde,CPV,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,36.68105,..,..,..,40.52178,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,71.06843,..,..,..,72.28277,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,16.97507,..,..,..,21.22902,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,34.37999,..,..,43.24527,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,67.85408,..,..,73.64866,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,15.50383,..,..,16.01381,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,99.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,85.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,11.02187,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,42.91475,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,6.93784,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,11.54,..,..,..,13.89845,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,27.22,..,..,..,27.32146,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,5.67,..,..,..,9.80743,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,94.43,..,94.24,..,94.49,..,95.05,..,95.9,..,..,..,..,..,..,..
Chile,CHL,"Completion rate, primary education, both sexes (%)",UIS.CR.1,96.59,..,96.34,..,95.88,..,96.7,..,96.3,..,..,..,..,..,..,..
Chile,CHL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,80.29,..,80.71,..,82.38,..,84.47,..,85.75,..,..,..,..,..,..,..
China,CHN,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,84.94,..,84.78,..,82.56,..,..,..,..,..,..,..,..,..,..
China,CHN,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,96.69,..,93.28,..,97.21,..,..,..,..,..,..,..,..,..,..
China,CHN,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,43.97,..,54.77,..,60.87,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,69.53,72.60894,72.49,72.62,74,74.57,76.10451,76.66,75.99,76.62,..,..,..,..,..,..
Colombia,COL,"Completion rate, primary education, both sexes (%)",UIS.CR.1,89.5,90.59966,90.2,90.92,90.93,91.8,92.04867,92.34,92.66,93,..,..,..,..,..,..
Colombia,COL,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,61.05,65.16154,64.86,65.61,67.14,68.1,72.65736,70.06,71.6,71.95,..,..,..,..,..,..
Comoros,COM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,45.32495,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,COM,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,76.62134,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,COM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,29.8208,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,34.38906,..,..,53.46335,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,44.46562,..,..,68.9453,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,13.8788,..,..,25.51588,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,34.544,..,..,50.56275,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,74.22485,..,..,80.00717,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,15.14647,..,..,23.32456,..,..,..,..,..,..,..,..,..
Cook Islands,COK,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cook Islands,COK,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cook Islands,COK,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,59.78,61.49,64.28467,63.19,64.56,66.57,68.2,68.95,68.2,73.47,..,..,..,..,..,..
Costa Rica,CRI,"Completion rate, primary education, both sexes (%)",UIS.CR.1,91.95,91.22,93.54096,93.41,93.44,94.51,94.7,95.33,96.15,96.31,..,..,..,..,..,..
Costa Rica,CRI,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,42.94,47.72,46.41372,51.56,53.13,54.72,52.59,55.46,57.35,58.38,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,24.13494,..,..,..,28.28069,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,44.30314,..,..,..,56.68524,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,13.69246,..,..,..,15.66811,..,..,..,..,..,..,..,..
Croatia,HRV,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,98.07,..,99.4,98.58,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,95.04,..,96.37,94.69,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,97.83,..,..,..,97.50024,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,98.32,..,..,..,99.50179,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,78.67,..,..,..,86.05416,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,98.3,..,98.57,99.29,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,92.73,..,92.76,92.78,..,..,..,..,..,..,..,..,..,..
Czechia,CZE,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,99.37,..,99.37,99.33,..,..,..,..,..,..,..,..,..,..
Czechia,CZE,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czechia,CZE,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,92.25,..,92.68,94.42,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,99.75,..,100,99,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,..,..,69.42,..,77.46,82.1,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
