year,country,team_size_all,team_size_male,team_size_female,p1,p2,p3,p4,p5,p6,p7,awards_gold,awards_silver,awards_bronze,awards_honorable_mentions,leader,deputy_leader,total_score,average_score_per_contestant,medal_Efficiency,Country Code,Value_gross_enr_ratio_for_tertirary_edu,Value_gov_expen_as_perc_of_GPP,Value_literacy_rate,Region,Income Group,Gov_Investment_Per_Medal,Lit_Performance_Ratio
2019,Croatia,6,6,NA,36,24,1,22,27,0,NA,0,0,3,3,Ivan Krijan,Borna Vukorepa,110,18.333333333333332,0.5,HRV,74.05,3.92,99.68487,Europe & Central Asia,High income: nonOECD,1.3066666666666666,5.437356545454546
2019,Spain,6,6,NA,36,13,0,29,32,0,NA,0,0,5,1,María Gaspar,Òscar Rivero,110,18.333333333333332,0.8333333333333334,ESP,91.02,4.23,NA,NA,NA,0.8460000000000001,NA
2019,Slovenia,6,5,1,41,5,14,21,28,0,NA,0,2,1,3,Gregor Dolinar,Jakob Jurij Snoj,109,18.166666666666668,0.5,SVN,76.47,4.89,99.68487,Europe & Central Asia,High income: OECD,1.63,5.487240550458716
2019,Georgia,6,6,NA,42,10,0,36,20,0,NA,0,1,4,1,George Chelidze,Givi Nadibaidze,108,18,0.8333333333333334,GEO,69.02,3.83,99.68487,Europe & Central Asia,Lower middle income,0.766,5.538048333333333
2019,Czech Republic,6,5,1,35,2,1,26,42,0,NA,0,0,4,2,Michal Rolinek,Josef Tkadlec,106,17.666666666666668,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA
2019,South Africa,6,6,NA,41,4,0,35,26,0,NA,0,0,4,2,Liam Baker,Phil Labuschagne,106,17.666666666666668,0.6666666666666666,ZAF,24.02,5.91,98,Sub-Saharan Africa,Upper middle income,1.4775,5.547169811320754
2019,Denmark,6,6,NA,35,15,5,20,30,0,NA,0,1,2,3,Kirsten Rosenkilde,Alexander Christgau,105,17.5,0.5,DNK,81.69,7.26,99.68487,Europe & Central Asia,High income: OECD,2.42,5.6962782857142855
2019,Armenia,6,5,1,41,15,1,21,26,0,NA,0,2,1,2,Smbat Gogyan,Gurgen Asatryan,104,17.333333333333332,0.5,ARM,53.31,2.57,99.68487,Europe & Central Asia,Lower middle income,0.8566666666666666,5.751050192307693
2019,Republic of Moldova,6,6,NA,41,17,0,23,10,9,NA,0,1,1,3,Valeriu Gutu,Valeriu Baltag,100,16.666666666666668,0.3333333333333333,NA,54.78,6.23,99.68487,Europe & Central Asia,Lower middle income,3.115,5.9810922
2019,Azerbaijan,6,6,NA,36,29,0,29,4,0,NA,0,0,3,2,Fuad Garayev,Hasan Hasanzade,98,16.333333333333332,0.5,AZE,32.92,3.18,100,Europe & Central Asia,Upper middle income,1.06,6.122448979591837
2019,Lithuania,6,4,2,42,4,0,35,15,0,NA,0,0,3,3,Arturas Dubickas,Leonas Narkevičius,96,16,0.5,LTU,70.18,3.96,99.68487,Europe & Central Asia,High income: nonOECD,1.32,6.230304375
2019,Argentina,6,5,1,34,17,1,24,19,0,NA,0,0,3,1,Patricia Fauring,Martín Mereb,95,15.833333333333334,0.5,ARG,95.08,4.77,NA,NA,NA,1.5899999999999999,NA
2019,Portugal,6,6,NA,32,10,0,28,23,0,NA,0,1,1,4,Joana Teles,Rodrigo Farinha Matias,93,15.5,0.3333333333333333,PRT,65.93,4.63,99.68487,Europe & Central Asia,High income: OECD,2.315,6.431281935483871
2019,Macau,6,6,NA,34,3,0,35,20,0,NA,0,0,3,3,Ieng Tak Leong,Sio Meng Lao,92,15.333333333333334,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2019,Sweden,6,5,1,33,10,7,22,20,0,NA,1,0,1,3,Paul Vaderlind,Victor Ufnarovski,92,15.333333333333334,0.3333333333333333,SWE,75.11,7.64,99.68487,Europe & Central Asia,High income: OECD,3.82,6.501187173913044
2019,Syria,6,6,NA,36,27,0,17,12,0,NA,0,1,1,3,Omran Kouba,Mohamad Firas Alhalabi,92,15.333333333333334,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
2019,New Zealand,6,5,1,28,0,0,36,25,0,NA,0,0,2,2,Chris Tuffley,Ross Atkins,89,14.833333333333334,0.3333333333333333,NZL,77.58,5.18,98.68928,East Asia & Pacific,High income: OECD,2.59,6.653209887640449
2019,Switzerland,6,5,1,29,6,0,22,32,0,NA,0,0,3,1,Louis Hainaut,David Rusch,89,14.833333333333334,0.5,CHE,66.31,5.01,99.68487,Europe & Central Asia,High income: OECD,1.67,6.720328314606742
2019,Austria,6,5,1,32,17,2,15,18,0,NA,0,0,4,1,Robert Geretschläger,Stefan Leopoldseder,84,14,0.6666666666666666,AUT,86.32,5.22,99.68487,Europe & Central Asia,High income: OECD,1.305,7.120347857142858
2019,Bosnia and Herzegovina,6,6,NA,41,8,0,22,13,0,NA,0,0,0,5,Admir Beširević,Ivan Vanja Boroja,84,14,0,BIH,41.6,4.04,99.68487,Europe & Central Asia,Upper middle income,NA,7.120347857142858
2019,Tajikistan,6,6,NA,40,12,1,17,8,4,NA,0,1,1,2,Umed Karimov,Olimjoni Pirahmad,82,13.666666666666666,0.3333333333333333,TJK,NA,5.48,99.68487,Europe & Central Asia,Low income,2.74,7.294014878048781
2019,Uzbekistan,6,6,NA,34,15,0,24,8,0,NA,0,0,1,3,Rustam Turdibaev,Muratkhon Sharakhimov,81,13.5,0.16666666666666666,UZB,12.45,6.3,100,Europe & Central Asia,Lower middle income,6.3,7.407407407407407
2019,Morocco,6,4,2,40,12,0,18,10,0,NA,0,0,1,4,Mohamed Berraho,Mohamed El Ibbaoui,80,13.333333333333334,0.16666666666666666,MAR,38.02,5,90.11926,Middle East & North Africa,Lower middle income,5,6.758944499999999
2019,Finland,6,5,1,30,7,1,20,20,0,NA,0,1,1,2,Lauri Hallila,Otte Heinävaara,78,13,0.3333333333333333,FIN,94.59,6.42,99.68487,Europe & Central Asia,High income: OECD,3.21,7.668066923076923
2019,Colombia,6,6,NA,30,4,0,20,23,0,NA,0,0,2,2,Maria Elizabeth Losada,Leandro Remolina Ardila,77,12.833333333333334,0.3333333333333333,COL,56.67,NA,98.82,Latin America & Caribbean,Upper middle income,NA,7.70025974025974
2019,Bangladesh,6,6,NA,32,15,0,19,10,0,NA,0,0,1,4,Mahbubul Alam Majumdar,A A Munir Hasan,76,12.666666666666666,0.16666666666666666,BGD,22.81,1.68,95,NA,NA,1.68,7.5
2019,Belgium,6,5,1,31,10,0,23,11,0,NA,0,1,1,3,Bart Windels,Philippe Niederkorn,75,12.5,0.3333333333333333,BEL,79.3,6.33,NA,NA,NA,3.165,NA
2019,Sri Lanka,6,5,1,39,6,0,15,13,0,NA,0,0,1,5,Dayal B. Dharmasena,Kaushika De Silva,73,12.166666666666666,0.16666666666666666,LKA,20.22,NA,99,NA,NA,NA,8.136986301369863
2019,Malaysia,6,6,NA,21,5,0,23,22,0,NA,0,0,2,2,Muhammad Syafiq Johar,Nor Sakinah Mohamad,71,11.833333333333334,0.3333333333333333,MYS,43.2,3.98,97,East Asia & Pacific,Upper middle income,1.99,8.197183098591548
2019,Ireland,6,4,2,21,10,7,10,13,0,NA,0,1,0,2,Bernd Kreussler,Gordon Lessells,61,10.166666666666666,0.16666666666666666,IRL,75.18,3.3,99.68487,Europe & Central Asia,High income: OECD,3.3,9.80506918032787
2019,Latvia,6,5,1,29,1,0,8,18,0,NA,0,0,0,4,Jevgēnijs Vihrovs,Juris Škuškovniks,56,9.333333333333334,0,LVA,94.86,4.44,99.68487,Europe & Central Asia,High income: nonOECD,NA,10.680521785714285
2019,Turkmenistan,6,6,NA,35,4,0,8,6,0,NA,0,0,0,3,Arslan Hojiyev,Perman Jorayev,53,8.833333333333334,0,TKM,12.98,3.12,99.68487,Europe & Central Asia,Upper middle income,NA,11.28507962264151
2019,Tunisia,6,6,NA,27,6,0,4,11,0,NA,0,0,0,4,Taoufik Charrada,Raouf Thabet,48,8,0,TUN,31.82,6.17,97,Middle East & North Africa,Upper middle income,NA,12.125
2019,Cyprus,6,5,1,31,3,0,9,4,0,NA,0,0,0,3,Gregoris Makrides,Demetres Christofides,47,7.833333333333333,0,CYP,88.49,5.21,99.68487,Europe & Central Asia,High income: nonOECD,NA,12.725728085106384
2019,North Macedonia,6,3,3,23,9,0,7,8,0,NA,0,0,0,2,Daniel Velinov,Sanja Atanasova,47,7.833333333333333,0,MKD,43.2,NA,NA,NA,NA,NA,NA
2019,Algeria,5,5,NA,28,8,0,8,2,0,NA,0,0,1,3,Abdallah Rahmani,Djamel Aouadi,46,9.2,0.2,DZA,54.19,5.58,74.03,NA,NA,5.58,8.046739130434784
2019,El Salvador,4,4,NA,21,2,0,14,8,0,NA,0,0,2,0,Gabriel Alexander Chicas Reyes,Gabriel Emiliano Carranza Menjívar,45,11.25,0.5,SLV,28.37,3.39,98.35,Latin America & Caribbean,Lower middle income,1.695,8.742222222222221
2019,Kosovo,6,6,NA,24,6,0,9,4,0,NA,0,0,0,3,Faton Berisha,Valmir Krasniqi,43,7.166666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,Albania,6,4,2,22,3,0,3,9,0,NA,0,0,0,2,Adrian Naco,Enkel Hysnelaj,37,6.166666666666667,0,ALB,61.41,3.92,99.68487,Europe & Central Asia,Upper middle income,NA,16.165114054054055
2019,Iceland,6,5,1,16,0,0,6,15,0,NA,0,0,0,2,Marteinn Þór Harðarson,Jóhanna Katrín Eggertsdóttir,37,6.166666666666667,0,ISL,70.61,7.6,99.68487,Europe & Central Asia,High income: OECD,NA,16.165114054054055
2019,Panama,4,4,NA,20,1,0,6,10,0,NA,0,0,1,1,Pablo Jaen,Leonel Castillo,37,9.25,0.25,PAN,NA,3.09,98.88,Latin America & Caribbean,Upper middle income,3.09,10.689729729729729
2019,Costa Rica,6,4,2,22,0,0,6,6,0,NA,0,0,0,2,Jeremías Ramírez Jiménez,German José Mora Sáenz,34,5.666666666666667,0,CRI,54.72,6.74,98.59456,Latin America & Caribbean,Upper middle income,NA,17.39904
2019,Pakistan,5,4,1,18,2,0,7,7,0,NA,0,0,1,1,Sarfraz Ahmad,Hani Shaker,34,6.8,0.2,PAK,11.35,2.21,73,South Asia,Lower middle income,2.21,10.73529411764706
2019,Trinidad and Tobago,6,5,1,17,4,1,1,11,0,NA,0,0,0,2,Indra Haraksingh,Jagdesh Ramnanan,34,5.666666666666667,0,TTO,NA,3.54,98.59456,Latin America & Caribbean,High income: nonOECD,NA,17.39904
2019,Montenegro,5,5,NA,17,7,0,1,8,0,NA,0,0,0,1,Goran Popivoda,Gojko Jelovac,33,6.6,0,MNE,56.26,NA,99.68487,Europe & Central Asia,Upper middle income,NA,15.103768181818182
2019,Ecuador,5,3,2,18,9,0,1,4,0,NA,0,0,0,3,Jorge Chamaidan,Adrian Delgado,32,6.4,0,ECU,47.26,4.25,94.88,Latin America & Caribbean,Upper middle income,NA,14.825
2019,Uruguay,5,5,NA,16,2,0,9,2,0,NA,0,0,0,2,Leonardo Lois,Maximiliano Stock,29,5.8,0,URY,61.96,4.63,99.02,NA,NA,NA,17.072413793103447
2019,Cuba,2,NA,2,10,3,0,8,2,0,NA,0,0,0,2,Evidio Quintana Fernández,Roman Fresneda Quiroga,23,11.5,0,CUB,43.99,9.05,99.61,Latin America & Caribbean,Upper middle income,NA,8.661739130434782
2019,Chile,4,2,2,10,2,0,0,8,0,NA,0,0,0,2,Hernan Burgos,Victor Cortes,20,5,0,CHL,92.07,5.63,98.59456,Latin America & Caribbean,High income: OECD,NA,19.718912
2019,Kyrgyzstan,6,6,NA,11,2,0,2,4,0,NA,0,0,0,0,Makhamadkhan Ishmatov,Abduvaliev Murat,19,3.1666666666666665,0,NA,41.56,6.07,99.7,Europe & Central Asia,Lower middle income,NA,31.484210526315792
2019,Paraguay,6,5,1,15,1,0,1,1,0,NA,0,0,0,0,Juan Jose Caceres Silva,Dario De Jesus Torres Herebia,18,3,0,PRY,NA,3.49,98.36,Latin America & Caribbean,Lower middle income,NA,32.78666666666667
2019,Iraq,6,6,NA,10,0,0,1,6,0,NA,0,0,0,1,Cuneyt Kilic,Mehmet Veysel Yildirim,17,2.8333333333333335,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,Nepal,6,6,NA,12,1,0,0,4,0,NA,0,0,0,1,Deepak Bastola,Pitambar Acharya,17,2.8333333333333335,0,NPL,13.92,3.49,94.24,South Asia,Low income,NA,33.26117647058823
2019,Nicaragua,2,2,NA,14,1,0,0,2,0,NA,0,0,0,2,Oscar Danilo Quintanilla Luna,Darwing José Mena Gutiérrez,17,8.5,0,NIC,17.77,4.6,98.59456,Latin America & Caribbean,Lower middle income,NA,11.59936
2019,Egypt,4,4,NA,3,1,0,1,7,0,NA,0,0,0,0,Walid Elsayed Aly Gomaa,Moaaz Muhammad Muhammad Alqady,12,3,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,Ghana,4,2,2,9,0,0,0,2,0,NA,0,0,0,1,Stephen Bobila,Mawuenyega Dogoe,11,2.75,0,GHA,17.43,3.15,76.31555,Sub-Saharan Africa,Lower middle income,NA,27.751109090909093
2019,Myanmar,6,5,1,6,2,0,0,3,0,NA,0,0,0,0,Saw Win Maung,Aung Kyaw,11,1.8333333333333333,0,MMR,NA,2,95,East Asia & Pacific,Low income,NA,51.81818181818182
2019,Cambodia,6,6,NA,2,8,0,0,0,0,NA,0,0,0,1,Ngonn Seam,Karim Ham,10,1.6666666666666667,0,KHM,16.84,2.83,NA,NA,NA,NA,NA
2019,Bolivia,6,5,1,7,0,0,0,2,0,NA,0,0,0,0,Jaime Manuel Rojas Claure,Jhonny Angel Aguilar Blanco,9,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,Luxembourg,6,4,2,2,1,1,0,5,0,NA,0,0,0,0,Charles Leytem,Pascal Zeihen,9,1.5,0,LUX,19.4,3.74,99.68487,Europe & Central Asia,High income: OECD,NA,66.45658
2019,Dominican Republic,5,4,1,3,0,0,0,2,0,NA,0,0,0,0,Octavio Galan,Julio Antonio Manzueta,5,1,0,DOM,64.38,4.04,98.7,NA,NA,NA,98.7
2019,Uganda,6,3,3,4,1,0,0,0,0,NA,0,0,0,0,Jasper Okello,Namuddu Assumpta Kasamba,5,0.8333333333333334,0,UGA,NA,2.31,76.31555,Sub-Saharan Africa,Low income,NA,91.57866
2019,Guatemala,3,3,NA,1,1,0,0,2,0,NA,0,0,0,0,Fernando Jose Mazariegos Camas,Ana Sofía Domínguez Cajas,4,1.3333333333333333,0,GTM,22.65,3.19,98.59456,Latin America & Caribbean,Lower middle income,NA,73.94592
2019,Honduras,3,3,NA,2,0,0,0,1,0,NA,0,0,0,0,Juan Pineda,Mario Roberto Canales Villanueva,3,1,0,HND,25.13,5.93,96.08,Latin America & Caribbean,Lower middle income,NA,96.08
2019,Puerto Rico,1,1,NA,1,0,0,0,2,0,NA,0,0,0,0,Caceres Luis,Omar Colon,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,Tanzania,6,6,NA,2,0,0,1,0,0,NA,0,0,0,0,Ertugrul Tarhan,Betinasia Kalebu Manyama,3,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,Venezuela,2,1,1,3,0,0,0,0,0,NA,0,0,0,0,Rafael Sánchez,José Nieto,3,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA
2019,Botswana,2,1,1,0,0,0,0,2,0,NA,0,0,0,0,Mmoloki Lekhutlile,Mathews Masole,2,1,0,BWA,22.97,8.4,76.31555,Sub-Saharan Africa,Upper middle income,NA,76.31555
2019,Angola,2,2,NA,0,0,0,0,0,0,NA,0,0,0,0,Gabriel Boaventura,Aldemar Guzo Camuege,0,0,0,AGO,11.06,2.07,NA,NA,NA,NA,NA
2019,Kenya,2,1,1,0,0,0,0,0,0,NA,0,0,0,0,James Katende,Silas Isaac Wafula,0,0,0,KEN,10.57,5.37,76.31555,Sub-Saharan Africa,Low income,NA,NA
2019,United Arab Emirates,6,NA,6,0,0,0,0,0,0,NA,0,0,0,0,Rachad Zaki,Badriya Alshehhi,0,0,0,ARE,56.57,3.86,98,Middle East & North Africa,High income: nonOECD,NA,NA
2018,United States of America,6,6,NA,42,41,14,42,42,31,NA,5,1,0,0,Po-Shen Loh,Oleksandr Rudenko,212,35.333333333333336,1,NA,88.3,4.9,NA,North America,High income: OECD,0.8166666666666668,NA
2018,Russian Federation,6,6,NA,42,42,11,42,41,23,NA,5,1,0,0,Nazar Agakhanov,Kirill Sukhov,201,33.5,1,RUS,81.57,4.68,99.69845,Europe & Central Asia,High income: nonOECD,0.7799999999999999,2.976073134328358
2018,People's Republic of China,6,6,NA,42,37,17,42,42,19,NA,4,2,0,0,Zhenhua Qu,Yijie He,199,33.166666666666664,1,NA,NA,NA,NA,NA,NA,NA,NA
2018,Ukraine,6,5,1,42,34,12,42,42,14,NA,4,2,0,0,Bogdan Rublov,Andrii Pankov,186,31,1,UKR,81.49,5.32,99.67011,Europe & Central Asia,Lower middle income,0.8866666666666667,3.2151648387096774
2018,Thailand,6,4,2,42,38,3,42,42,16,NA,3,3,0,0,Dungjade Shiowattana,Teeradej Kittipassorn,183,30.5,1,THA,46.54,3.2,98,NA,NA,0.5333333333333333,3.2131147540983607
2018,Taiwan,6,6,NA,42,42,15,37,25,18,NA,3,1,2,0,Tzer-Jen Wei,John Meng Kai Hong,179,29.833333333333332,1,NA,NA,NA,NA,NA,NA,NA,NA
2018,Republic of Korea,6,5,1,42,42,3,42,36,12,NA,3,3,0,0,Yongjin Song,Sang-Il Oum,177,29.5,1,NA,93.33,4.46,100,East Asia & Pacific,High income: OECD,0.7433333333333333,3.389830508474576
2018,Singapore,6,6,NA,41,42,3,42,37,10,NA,2,3,1,0,Yan Loi Wong,Teck Kian Teo,175,29.166666666666668,1,SGP,88.89,2.86,100,East Asia & Pacific,High income: nonOECD,0.4766666666666666,3.4285714285714284
2018,Poland,6,6,NA,42,39,7,42,37,7,NA,1,5,0,0,Michał Pilipczuk,Andrzej Grzesik,174,29,1,POL,71.02,4.61,99.67011,Europe & Central Asia,High income: OECD,0.7683333333333334,3.436900344827586
