year,country,team_size_all,team_size_male,team_size_female,p1,p2,p3,p4,p5,p6,p7,awards_gold,awards_silver,awards_bronze,awards_honorable_mentions,leader,deputy_leader,total_score,average_score_per_contestant,medal_Efficiency,Country Code,Value_gross_enr_ratio_for_tertirary_edu,Value_gov_expen_as_perc_of_GPP,Value_literacy_rate,Region,Income Group,Gov_Investment_Per_Medal,Lit_Performance_Ratio,SE.TER.GRAD.SC.ZS,IT.NET.USER.P2,SL.TLF.ADVN.ZS,UIS.X.US.FSGOV,UIS.X.USCONST.FSGOV,NY.GDP.PCAP.CD,SE.XPD.TOTL.GB.ZS,SE.XPD.CUR.TOTL.ZS,OECD.TSAL.1.E10
2019,Türkiye,6,6,NA,38,23,4,36,32,2,NA,1,1,3,1,Azer Kerimov,Şahin Emrah,135,22.5,0.8333333333333334,NA,117.01,4.45,100,NA,NA,0.89,4.444444444444445,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Philippines,6,6,NA,42,16,0,42,29,0,NA,0,1,5,0,Richard Eden,Christian Paul Chan Shio,129,21.5,1,PHL,31.24,3.41,98,East Asia & Pacific,Lower middle income,0.5683333333333334,4.558139534883721,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Germany,6,6,NA,36,9,3,29,42,7,NA,1,0,3,2,Jürgen Prestin,Eric Müller,126,21,0.6666666666666666,DEU,72.71,5.12,99.68487,Europe & Central Asia,High income: OECD,1.28,4.746898571428572,NA,NA,NA,NA,NA,NA,NA,NA,73554.545303737
2019,Saudi Arabia,6,5,1,41,19,0,29,35,0,NA,0,1,4,0,Fawzi Al Thukair,Alzubair Habibullah,124,20.666666666666668,0.8333333333333334,SAU,79.61,NA,90.11926,Middle East & North Africa,High income: nonOECD,NA,4.36060935483871,8.07383,NA,NA,NA,NA,NA,NA,NA,NA
2019,Norway,6,6,NA,35,20,0,37,30,0,NA,0,1,3,2,Dávid Kunszenti-Kovács,Karl Erik Holter,122,20.333333333333332,0.6666666666666666,NOR,85.76,7.86,99.68487,Europe & Central Asia,High income: OECD,1.965,4.902534590163935,NA,NA,NA,NA,NA,NA,NA,NA,48481.44431655
2019,Belarus,6,4,2,42,23,1,30,23,0,NA,0,2,2,2,Igor Voronovich,Mikhail Karpuk,119,19.833333333333332,0.6666666666666666,BLR,80.17,4.98,100,Europe & Central Asia,Upper middle income,1.245,5.04201680672269,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Estonia,6,6,NA,40,8,0,34,36,0,NA,0,1,4,0,Oleg Košik,Sandra Schumann,118,19.666666666666668,0.8333333333333334,EST,72.71,5.26,99.68487,Europe & Central Asia,High income: OECD,1.052,5.0687222033898305,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Hong Kong,6,6,NA,41,3,5,37,31,0,NA,0,1,3,1,Tat Wing Leung,Cesar Jose Alaban,117,19.5,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Netherlands,6,6,NA,38,9,3,29,37,1,NA,0,1,4,1,Quintijn Puite,Birgit van Dalen,117,19.5,0.8333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55317.7058056519
2019,Slovakia,6,6,NA,36,4,8,26,40,0,NA,0,1,3,2,Stanislav Krajči,Patrik Bak,114,19,0.6666666666666666,NA,48.19,4.27,NA,NA,NA,1.0675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Greece,6,5,1,42,15,0,34,19,2,NA,0,1,2,3,Anargyros Fellouris,Silouanos Brazitikos,112,18.666666666666668,0.5,GRC,143.96,3.59,99.68487,Europe & Central Asia,High income: OECD,1.1966666666666663,5.340260892857143,NA,NA,NA,NA,NA,NA,NA,NA,24848.2208786251
2019,Mexico,6,5,1,41,27,1,19,23,0,NA,0,1,3,2,Rogelio Valdez,David Cossio Ruiz,111,18.5,0.6666666666666666,MEX,43.04,NA,NA,NA,NA,NA,NA,NA,NA,77.4854965209961,NA,NA,NA,NA,NA,27180.8758503797
2019,Croatia,6,6,NA,36,24,1,22,27,0,NA,0,0,3,3,Ivan Krijan,Borna Vukorepa,110,18.333333333333332,0.5,HRV,74.05,3.92,99.68487,Europe & Central Asia,High income: nonOECD,1.3066666666666666,5.437356545454546,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Spain,6,6,NA,36,13,0,29,32,0,NA,0,0,5,1,María Gaspar,Òscar Rivero,110,18.333333333333332,0.8333333333333334,ESP,91.02,4.23,NA,NA,NA,0.8460000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,45715.4476818191
2019,Slovenia,6,5,1,41,5,14,21,28,0,NA,0,2,1,3,Gregor Dolinar,Jakob Jurij Snoj,109,18.166666666666668,0.5,SVN,76.47,4.89,99.68487,Europe & Central Asia,High income: OECD,1.63,5.487240550458716,NA,NA,NA,NA,NA,NA,NA,NA,35636.6926313572
2019,Georgia,6,6,NA,42,10,0,36,20,0,NA,0,1,4,1,George Chelidze,Givi Nadibaidze,108,18,0.8333333333333334,GEO,69.02,3.83,99.68487,Europe & Central Asia,Lower middle income,0.766,5.538048333333333,10.32714,NA,NA,NA,NA,NA,NA,NA,NA
2019,Czech Republic,6,5,1,35,2,1,26,42,0,NA,0,0,4,2,Michal Rolinek,Josef Tkadlec,106,17.666666666666668,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,South Africa,6,6,NA,41,4,0,35,26,0,NA,0,0,4,2,Liam Baker,Phil Labuschagne,106,17.666666666666668,0.6666666666666666,ZAF,24.02,5.91,98,Sub-Saharan Africa,Upper middle income,1.4775,5.547169811320754,NA,NA,82.0192031860352,23957.3784,19704.7571,NA,19.45059,95.81434,NA
2019,Denmark,6,6,NA,35,15,5,20,30,0,NA,0,1,2,3,Kirsten Rosenkilde,Alexander Christgau,105,17.5,0.5,DNK,81.69,7.26,99.68487,Europe & Central Asia,High income: OECD,2.42,5.6962782857142855,NA,NA,NA,NA,NA,NA,NA,NA,55805.8927251636
2019,Armenia,6,5,1,41,15,1,21,26,0,NA,0,2,1,2,Smbat Gogyan,Gurgen Asatryan,104,17.333333333333332,0.5,ARM,53.31,2.57,99.68487,Europe & Central Asia,Lower middle income,0.8566666666666666,5.751050192307693,6.60915,NA,NA,NA,NA,NA,NA,NA,NA
2019,Republic of Moldova,6,6,NA,41,17,0,23,10,9,NA,0,1,1,3,Valeriu Gutu,Valeriu Baltag,100,16.666666666666668,0.3333333333333333,NA,54.78,6.23,99.68487,Europe & Central Asia,Lower middle income,3.115,5.9810922,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Azerbaijan,6,6,NA,36,29,0,29,4,0,NA,0,0,3,2,Fuad Garayev,Hasan Hasanzade,98,16.333333333333332,0.5,AZE,32.92,3.18,100,Europe & Central Asia,Upper middle income,1.06,6.122448979591837,4.22968,NA,NA,NA,NA,NA,NA,NA,NA
2019,Lithuania,6,4,2,42,4,0,35,15,0,NA,0,0,3,3,Arturas Dubickas,Leonas Narkevičius,96,16,0.5,LTU,70.18,3.96,99.68487,Europe & Central Asia,High income: nonOECD,1.32,6.230304375,NA,NA,NA,NA,NA,NA,NA,NA,29213.6484066457
2019,Argentina,6,5,1,34,17,1,24,19,0,NA,0,0,3,1,Patricia Fauring,Martín Mereb,95,15.833333333333334,0.5,ARG,95.08,4.77,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Portugal,6,6,NA,32,10,0,28,23,0,NA,0,1,1,4,Joana Teles,Rodrigo Farinha Matias,93,15.5,0.3333333333333333,PRT,65.93,4.63,99.68487,Europe & Central Asia,High income: OECD,2.315,6.431281935483871,NA,NA,NA,NA,NA,NA,NA,NA,41171.510552209
2019,Macau,6,6,NA,34,3,0,35,20,0,NA,0,0,3,3,Ieng Tak Leong,Sio Meng Lao,92,15.333333333333334,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Sweden,6,5,1,33,10,7,22,20,0,NA,1,0,1,3,Paul Vaderlind,Victor Ufnarovski,92,15.333333333333334,0.3333333333333333,SWE,75.11,7.64,99.68487,Europe & Central Asia,High income: OECD,3.82,6.501187173913044,NA,NA,NA,NA,NA,NA,NA,NA,44996.2545731279
2019,Syria,6,6,NA,36,27,0,17,12,0,NA,0,1,1,3,Omran Kouba,Mohamad Firas Alhalabi,92,15.333333333333334,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,New Zealand,6,5,1,28,0,0,36,25,0,NA,0,0,2,2,Chris Tuffley,Ross Atkins,89,14.833333333333334,0.3333333333333333,NZL,77.58,5.18,98.68928,East Asia & Pacific,High income: OECD,2.59,6.653209887640449,NA,NA,NA,NA,NA,NA,NA,NA,50966.6570431488
2019,Switzerland,6,5,1,29,6,0,22,32,0,NA,0,0,3,1,Louis Hainaut,David Rusch,89,14.833333333333334,0.5,CHE,66.31,5.01,99.68487,Europe & Central Asia,High income: OECD,1.67,6.720328314606742,NA,NA,NA,NA,NA,NA,NA,NA,74594.3044437214
2019,Austria,6,5,1,32,17,2,15,18,0,NA,0,0,4,1,Robert Geretschläger,Stefan Leopoldseder,84,14,0.6666666666666666,AUT,86.32,5.22,99.68487,Europe & Central Asia,High income: OECD,1.305,7.120347857142858,NA,NA,NA,NA,NA,NA,NA,NA,48708.6452002767
2019,Bosnia and Herzegovina,6,6,NA,41,8,0,22,13,0,NA,0,0,0,5,Admir Beširević,Ivan Vanja Boroja,84,14,0,BIH,41.6,4.04,99.68487,Europe & Central Asia,Upper middle income,NA,7.120347857142858,4.83408,NA,74.5967025756836,NA,NA,NA,NA,NA,NA
2019,Tajikistan,6,6,NA,40,12,1,17,8,4,NA,0,1,1,2,Umed Karimov,Olimjoni Pirahmad,82,13.666666666666666,0.3333333333333333,TJK,NA,5.48,99.68487,Europe & Central Asia,Low income,2.74,7.294014878048781,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Uzbekistan,6,6,NA,34,15,0,24,8,0,NA,0,0,1,3,Rustam Turdibaev,Muratkhon Sharakhimov,81,13.5,0.16666666666666666,UZB,12.45,6.3,100,Europe & Central Asia,Lower middle income,6.3,7.407407407407407,6.21523,NA,NA,NA,NA,NA,NA,NA,NA
2019,Morocco,6,4,2,40,12,0,18,10,0,NA,0,0,1,4,Mohamed Berraho,Mohamed El Ibbaoui,80,13.333333333333334,0.16666666666666666,MAR,38.02,5,90.11926,Middle East & North Africa,Lower middle income,5,6.758944499999999,9.78596,NA,NA,NA,NA,NA,NA,NA,NA
2019,Finland,6,5,1,30,7,1,20,20,0,NA,0,1,1,2,Lauri Hallila,Otte Heinävaara,78,13,0.3333333333333333,FIN,94.59,6.42,99.68487,Europe & Central Asia,High income: OECD,3.21,7.668066923076923,NA,NA,NA,NA,NA,NA,NA,NA,40616.5678516457
2019,Colombia,6,6,NA,30,4,0,20,23,0,NA,0,0,2,2,Maria Elizabeth Losada,Leandro Remolina Ardila,77,12.833333333333334,0.3333333333333333,COL,56.67,NA,98.82,Latin America & Caribbean,Upper middle income,NA,7.70025974025974,NA,NA,NA,NA,NA,NA,NA,NA,38736.4157761919
2019,Bangladesh,6,6,NA,32,15,0,19,10,0,NA,0,0,1,4,Mahbubul Alam Majumdar,A A Munir Hasan,76,12.666666666666666,0.16666666666666666,BGD,22.81,1.68,95,NA,NA,1.68,7.5,7.97332,NA,NA,3634.64024,3398.34385,NA,9.27375,71.03983,NA
2019,Belgium,6,5,1,31,10,0,23,11,0,NA,0,1,1,3,Bart Windels,Philippe Niederkorn,75,12.5,0.3333333333333333,BEL,79.3,6.33,NA,NA,NA,3.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Sri Lanka,6,5,1,39,6,0,15,13,0,NA,0,0,1,5,Dayal B. Dharmasena,Kaushika De Silva,73,12.166666666666666,0.16666666666666666,LKA,20.22,NA,99,NA,NA,NA,8.136986301369863,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Malaysia,6,6,NA,21,5,0,23,22,0,NA,0,0,2,2,Muhammad Syafiq Johar,Nor Sakinah Mohamad,71,11.833333333333334,0.3333333333333333,MYS,43.2,3.98,97,East Asia & Pacific,Upper middle income,1.99,8.197183098591548,3.71129,NA,NA,15183.21461,14510.73224,NA,17.93575,92.38038,NA
2019,Ireland,6,4,2,21,10,7,10,13,0,NA,0,1,0,2,Bernd Kreussler,Gordon Lessells,61,10.166666666666666,0.16666666666666666,IRL,75.18,3.3,99.68487,Europe & Central Asia,High income: OECD,3.3,9.80506918032787,NA,NA,NA,NA,NA,NA,NA,NA,56335.9637971099
2019,Latvia,6,5,1,29,1,0,8,18,0,NA,0,0,0,4,Jevgēnijs Vihrovs,Juris Škuškovniks,56,9.333333333333334,0,LVA,94.86,4.44,99.68487,Europe & Central Asia,High income: nonOECD,NA,10.680521785714284,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Turkmenistan,6,6,NA,35,4,0,8,6,0,NA,0,0,0,3,Arslan Hojiyev,Perman Jorayev,53,8.833333333333334,0,TKM,12.98,3.12,99.68487,Europe & Central Asia,Upper middle income,NA,11.28507962264151,NA,NA,NA,1411.51429,NA,NA,22.84321,NA,NA
2019,Tunisia,6,6,NA,27,6,0,4,11,0,NA,0,0,0,4,Taoufik Charrada,Raouf Thabet,48,8,0,TUN,31.82,6.17,97,Middle East & North Africa,Upper middle income,NA,12.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Cyprus,6,5,1,31,3,0,9,4,0,NA,0,0,0,3,Gregoris Makrides,Demetres Christofides,47,7.833333333333333,0,CYP,88.49,5.21,99.68487,Europe & Central Asia,High income: nonOECD,NA,12.725728085106384,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,North Macedonia,6,3,3,23,9,0,7,8,0,NA,0,0,0,2,Daniel Velinov,Sanja Atanasova,47,7.833333333333333,0,MKD,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Algeria,5,5,NA,28,8,0,8,2,0,NA,0,0,1,3,Abdallah Rahmani,Djamel Aouadi,46,9.2,0.2,DZA,54.19,5.58,74.03,NA,NA,5.58,8.046739130434784,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,El Salvador,4,4,NA,21,2,0,14,8,0,NA,0,0,2,0,Gabriel Alexander Chicas Reyes,Gabriel Emiliano Carranza Menjívar,45,11.25,0.5,SLV,28.37,3.39,98.35,Latin America & Caribbean,Lower middle income,1.695,8.742222222222221,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Kosovo,6,6,NA,24,6,0,9,4,0,NA,0,0,0,3,Faton Berisha,Valmir Krasniqi,43,7.166666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Albania,6,4,2,22,3,0,3,9,0,NA,0,0,0,2,Adrian Naco,Enkel Hysnelaj,37,6.166666666666667,0,ALB,61.41,3.92,99.68487,Europe & Central Asia,Upper middle income,NA,16.165114054054055,4.09275,NA,NA,NA,NA,NA,NA,NA,NA
2019,Iceland,6,5,1,16,0,0,6,15,0,NA,0,0,0,2,Marteinn Þór Harðarson,Jóhanna Katrín Eggertsdóttir,37,6.166666666666667,0,ISL,70.61,7.6,99.68487,Europe & Central Asia,High income: OECD,NA,16.165114054054055,NA,NA,NA,NA,NA,NA,NA,NA,40971.2227208846
2019,Panama,4,4,NA,20,1,0,6,10,0,NA,0,0,1,1,Pablo Jaen,Leonel Castillo,37,9.25,0.25,PAN,NA,3.09,98.88,Latin America & Caribbean,Upper middle income,3.09,10.689729729729727,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Costa Rica,6,4,2,22,0,0,6,6,0,NA,0,0,0,2,Jeremías Ramírez Jiménez,German José Mora Sáenz,34,5.666666666666667,0,CRI,54.72,6.74,98.59456,Latin America & Caribbean,Upper middle income,NA,17.39904,2.18746,NA,78.7008972167969,4354.29851,4320.10159,NA,NA,98.10043,29591.8541990429
2019,Pakistan,5,4,1,18,2,0,7,7,0,NA,0,0,1,1,Sarfraz Ahmad,Hani Shaker,34,6.8,0.2,PAK,11.35,2.21,73,South Asia,Lower middle income,2.21,10.73529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Trinidad and Tobago,6,5,1,17,4,1,1,11,0,NA,0,0,0,2,Indra Haraksingh,Jagdesh Ramnanan,34,5.666666666666667,0,TTO,NA,3.54,98.59456,Latin America & Caribbean,High income: nonOECD,NA,17.39904,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Montenegro,5,5,NA,17,7,0,1,8,0,NA,0,0,0,1,Goran Popivoda,Gojko Jelovac,33,6.6,0,MNE,56.26,NA,99.68487,Europe & Central Asia,Upper middle income,NA,15.103768181818182,2.8651,NA,NA,NA,NA,NA,NA,NA,NA
2019,Ecuador,5,3,2,18,9,0,1,4,0,NA,0,0,0,3,Jorge Chamaidan,Adrian Delgado,32,6.4,0,ECU,47.26,4.25,94.88,Latin America & Caribbean,Upper middle income,NA,14.825,NA,NA,78.3181991577148,NA,NA,NA,NA,NA,NA
2019,Uruguay,5,5,NA,16,2,0,9,2,0,NA,0,0,0,2,Leonardo Lois,Maximiliano Stock,29,5.8,0,URY,61.96,4.63,99.02,NA,NA,NA,17.072413793103447,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Cuba,2,NA,2,10,3,0,8,2,0,NA,0,0,0,2,Evidio Quintana Fernández,Roman Fresneda Quiroga,23,11.5,0,CUB,43.99,9.05,99.61,Latin America & Caribbean,Upper middle income,NA,8.661739130434782,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Chile,4,2,2,10,2,0,0,8,0,NA,0,0,0,2,Hernan Burgos,Victor Cortes,20,5,0,CHL,92.07,5.63,98.59456,Latin America & Caribbean,High income: OECD,NA,19.718912,NA,NA,NA,NA,NA,NA,NA,NA,28716.3139080482
2019,Kyrgyzstan,6,6,NA,11,2,0,2,4,0,NA,0,0,0,0,Makhamadkhan Ishmatov,Abduvaliev Murat,19,3.1666666666666665,0,NA,41.56,6.07,99.7,Europe & Central Asia,Lower middle income,NA,31.484210526315792,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Paraguay,6,5,1,15,1,0,1,1,0,NA,0,0,0,0,Juan Jose Caceres Silva,Dario De Jesus Torres Herebia,18,3,0,PRY,NA,3.49,98.36,Latin America & Caribbean,Lower middle income,NA,32.78666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Iraq,6,6,NA,10,0,0,1,6,0,NA,0,0,0,1,Cuneyt Kilic,Mehmet Veysel Yildirim,17,2.8333333333333335,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
