"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","95.25","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","96.95","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","98.72","SOURCE: ECLAC based on Encuesta Continua de Hogares  ECH, National, November"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","91.48","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios  PNAD, National, September"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","92.89","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios  PNAD, National, September"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","93.20","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios  PNAD, National, September"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","93.75","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios Continua  PNAD Continua, National, Annual"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","94.65","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios Continua  PNAD Continua, National, Annual"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","95.09","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios Continua  PNAD Continua, National, Annual"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","95.67","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios Continua  PNAD Continua, National, Annual"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","96.31","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios Continua  PNAD Continua, National, Annual"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","96.65","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios Continua  PNAD Continua, National, Annual"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","97.13","SOURCE: ECLAC based on Pesquisa por Amostra de Domicilios Continua  PNAD Continua, National, Annual"
"SDG: Sub-Saharan Africa","Central African Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","27.05","SOURCE: Central African Republic MICS 2018-19. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","99.20","SOURCE: Switzerland EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","99.42","SOURCE: Switzerland EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","99.40","SOURCE: Switzerland EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","99.32","SOURCE: Switzerland EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","99.25","SOURCE: Switzerland EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.17","SOURCE: Switzerland EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","98.91","SOURCE: Switzerland EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","99.17","SOURCE: Switzerland EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Switzerland","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","99.35","SOURCE: Switzerland EU-LFS 2021 (GEMR)."
"SDG: Latin America and the Caribbean","Chile","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","96.98","SOURCE: ECLAC based on Encuesta de Caracterizacion Socioeconomica National  CASEN, National, November to January"
"SDG: Latin America and the Caribbean","Chile","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","97.62","SOURCE: ECLAC based on Encuesta de Caracterizacion Socioeconomica National  CASEN, National, November to January"
"SDG: Latin America and the Caribbean","Chile","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","97.23","SOURCE: ECLAC based on Encuesta de Caracterizacion Socioeconomica National  CASEN, National, November to January"
"SDG: Latin America and the Caribbean","Chile","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","97.91","SOURCE: ECLAC based on Encuesta de Caracterizacion Socioeconomica National  CASEN, National, November to January"
"SDG: Latin America and the Caribbean","Chile","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","99.22","SOURCE: ECLAC based on Encuesta de Caracterizacion Socioeconomica National  CASEN, National, November to January"
"SDG: Eastern and South-Eastern Asia","China","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","97.21","SOURCE: China CFPS 2014 (GEMR)."
"SDG: Eastern and South-Eastern Asia","China","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","96.36","SOURCE: China CFPS 2016 (GEMR)."
"SDG: Eastern and South-Eastern Asia","China","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","97.76","SOURCE: China Family Panel Studies 2018. The survey collected data on school attendance and educational attainment for age 0 and above."
"SDG: Sub-Saharan Africa","Côte d'Ivoire","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","56.59","SOURCE: Cote d'Ivoire MICS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Côte d'Ivoire","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","56.40","SOURCE: Cote d'Ivoire EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Côte d'Ivoire","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","65.15","SOURCE: Cote d'Ivoire DHS 2021.  The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above."
"SDG: Sub-Saharan Africa","Cameroon","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","73.65","SOURCE: Cameroon MICS 2013-14. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Cameroon","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","73.98","SOURCE: Cameroon DHS 2018. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","68.95","SOURCE: Democratic Republic of the Congo DHS 2013-14. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","66.67","SOURCE: Democratic Republic of the Congo MICS 2017-18. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Sub-Saharan Africa","Congo","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","80.34","SOURCE: Congo MICS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","91.54","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","92.30","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","92.45","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","92.76","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","93.12","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","93.32","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","93.91","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","93.52","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","94.61","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","94.33","SOURCE: ECLAC based on Gran Encuesta Integrada de Hogares, National, Annual"
"SDG: Sub-Saharan Africa","Comoros","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","81.52","SOURCE: Comoros MICS 2022. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","93.44","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","94.51","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","94.70","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","95.38","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","96.15","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","96.31","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","96.88","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","97.22","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","97.43","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","98.13","SOURCE: ECLAC based on Encuesta National de Hogares  ENAHO, National, July"
"SDG: Latin America and the Caribbean","Cuba","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","99.50","SOURCE: Cuba MICS 2014. The survey collected data on educational attainment for age 5 and above."
"SDG: Latin America and the Caribbean","Cuba","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","99.66","SOURCE: Cuba MICS 2019. The survey collected data on school attendance for age 1-24 and educational attainment for age 1 and above."
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","99.44","SOURCE: Cyprus EU-LFS 2013 (GEMR)."
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","99.44","SOURCE: Cyprus EU-LFS 2014 (GEMR)."
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","98.45","SOURCE: Cyprus EU-LFS 2015 (GEMR)."
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","98.06","SOURCE: Cyprus EU-LFS 2016 (GEMR)."
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","98.28","SOURCE: Cyprus EU-LFS 2017 (GEMR)."
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","98.84","SOURCE: Cyprus EU-LFS 2018 (GEMR)."
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","97.63","SOURCE: Cyprus EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Germany","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","98.45","SOURCE: Germany EU-LFS 2013 (GEMR)."
"SDG: Sub-Saharan Africa","Djibouti","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","81.03","SOURCE: Djibouti EnquAte Djiboutienne AuprAs des MAnages (EDAM) pour les Indicateurs Sociaux 2017. The survey collected data on school attendance and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","99.94","SOURCE: Denmark EU-LFS 2013 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","99.20","SOURCE: Denmark EU-LFS 2014 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","99.30","SOURCE: Denmark EU-LFS 2015 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","99.48","SOURCE: Denmark EU-LFS 2016 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","99.53","SOURCE: Denmark EU-LFS 2017 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.50","SOURCE: Denmark EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","99.39","SOURCE: Denmark EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","99.39","SOURCE: Denmark EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Denmark","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","99.42","SOURCE: Denmark EU-LFS 2021 (GEMR)."
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","88.91","SOURCE: ECLAC based on Encuesta de Fuerza de Trabajo  EFT, National, October"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2014","88.41","SOURCE: ECLAC based on Encuesta de Fuerza de Trabajo  EFT, National, October"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2015","89.56","SOURCE: ECLAC based on Encuesta de Fuerza de Trabajo  EFT, National, October"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2016","90.42","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2017","92.62","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","92.94","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","93.23","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","92.21","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","92.79","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2022","93.36","SOURCE: ECLAC based on Encuesta Nacional Continua de Fuerza de Trabajo  ENCFT, National, Annual"
"SDG: Northern Africa and Western Asia","Algeria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","94.24","SOURCE: Algeria MICS 2012-13. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above."
"SDG: Northern Africa and Western Asia","Algeria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","94.05","SOURCE: Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2013","97.31","SOURCE: ECLAC based on Encuesta de Empleo, Subempleo y Desempleo en el Area Urbana y Rural, National, December"
